kind,size,reverse,reuse,query,answers,ticks,force,match,validation_passes,validation_entries
plain,32,true,StaticBirth,a,1,35,167,33,67,101
plain,32,true,MatchDependencies,a,1,35,167,33,67,101
plain,32,true,CurrentContext,b,1,35,167,33,67,101
plain,32,true,StaticBirth,b,1,35,167,33,67,101
plain,32,true,MatchDependencies,b,1,35,167,33,67,101
known-hit,32,true,CurrentContext,a,1,35,295,129,67,101
known-hit,32,true,StaticBirth,a,1,35,295,129,67,101
known-hit,32,true,MatchDependencies,a,1,35,295,129,67,101
known-hit,32,true,CurrentContext,b,1,35,295,129,67,101
known-hit,32,true,StaticBirth,b,1,35,295,129,67,101
known-hit,32,true,MatchDependencies,b,1,35,295,129,67,101
known-miss,32,true,CurrentContext,a,1,3,2309,1121,35,36
known-miss,32,true,StaticBirth,a,1,3,2309,1121,35,36
known-miss,32,true,MatchDependencies,a,1,3,2309,1121,35,36
known-miss,32,true,CurrentContext,b,1,3,2309,1121,35,36
known-miss,32,true,StaticBirth,b,1,3,2309,1121,35,36
known-miss,32,true,MatchDependencies,b,1,3,2309,1121,35,36
delayed-hit,32,true,CurrentContext,a,1,35,327,129,67,101
delayed-hit,32,true,StaticBirth,a,1,35,327,129,67,101
delayed-hit,32,true,MatchDependencies,a,1,35,327,129,67,101
delayed-hit,32,true,CurrentContext,b,1,35,327,129,67,101
delayed-hit,32,true,StaticBirth,b,1,35,327,129,67,101
delayed-hit,32,true,MatchDependencies,b,1,35,327,129,67,101
delayed-miss,32,true,CurrentContext,a,1,3,2249,1121,35,36
delayed-miss,32,true,StaticBirth,a,1,3,2249,1121,35,36
delayed-miss,32,true,MatchDependencies,a,1,3,2249,1121,35,36
delayed-miss,32,true,CurrentContext,b,1,3,2249,1121,35,36
delayed-miss,32,true,StaticBirth,b,1,3,2249,1121,35,36
delayed-miss,32,true,MatchDependencies,b,1,3,2249,1121,35,36
plain,128,false,CurrentContext,a,1,131,647,129,259,389
plain,128,false,StaticBirth,a,1,131,647,129,259,389
plain,128,false,MatchDependencies,a,1,131,647,129,259,389
plain,128,false,CurrentContext,b,1,131,647,129,259,389
plain,128,false,StaticBirth,b,1,131,647,129,259,389
plain,128,false,MatchDependencies,b,1,131,647,129,259,389
known-hit,128,false,CurrentContext,a,1,131,1159,513,259,389
known-hit,128,false,StaticBirth,a,1,131,1159,513,259,389
known-hit,128,false,MatchDependencies,a,1,131,1159,513,259,389
known-hit,128,false,CurrentContext,b,1,131,1159,513,259,389
known-hit,128,false,StaticBirth,b,1,131,1159,513,259,389
known-hit,128,false,MatchDependencies,b,1,131,1159,513,259,389
known-miss,128,false,CurrentContext,a,1,3,66949,33537,260,261
known-miss,128,false,StaticBirth,a,1,3,66949,33537,260,261
known-miss,128,false,MatchDependencies,a,1,3,66949,33537,260,261
known-miss,128,false,CurrentContext,b,1,3,66949,33537,260,261
known-miss,128,false,StaticBirth,b,1,3,66949,33537,260,261
known-miss,128,false,MatchDependencies,b,1,3,66949,33537,260,261
delayed-hit,128,false,CurrentContext,a,1,131,660327,339169,323,517
delayed-hit,128,false,StaticBirth,a,1,131,660327,339169,323,517
delayed-hit,128,false,MatchDependencies,a,1,131,660327,339169,323,517
delayed-hit,128,false,CurrentContext,b,1,131,660327,339169,323,517
delayed-hit,128,false,StaticBirth,b,1,131,660327,339169,323,517
delayed-hit,128,false,MatchDependencies,b,1,131,660327,339169,323,517
delayed-miss,128,false,CurrentContext,a,1,3,50697,25409,131,132
delayed-miss,128,false,StaticBirth,a,1,3,50697,25409,131,132
delayed-miss,128,false,MatchDependencies,a,1,3,50697,25409,131,132
delayed-miss,128,false,CurrentContext,b,1,3,50697,25409,131,132
delayed-miss,128,false,StaticBirth,b,1,3,50697,25409,131,132
delayed-miss,128,false,MatchDependencies,b,1,3,50697,25409,131,132
plain,128,true,CurrentContext,a,1,131,647,129,259,389
plain,128,true,StaticBirth,a,1,131,647,129,259,389
plain,128,true,MatchDependencies,a,1,131,647,129,259,389
plain,128,true,CurrentContext,b,1,131,647,129,259,389
plain,128,true,StaticBirth,b,1,131,647,129,259,389
plain,128,true,MatchDependencies,b,1,131,647,129,259,389
known-hit,128,true,CurrentContext,a,1,131,1159,513,259,389
known-hit,128,true,StaticBirth,a,1,131,1159,513,259,389
known-hit,128,true,MatchDependencies,a,1,131,1159,513,259,389
known-hit,128,true,CurrentContext,b,1,131,1159,513,259,389
known-hit,128,true,StaticBirth,b,1,131,1159,513,259,389
known-hit,128,true,MatchDependencies,b,1,131,1159,513,259,389
known-miss,128,true,CurrentContext,a,1,3,33797,16769,131,132
known-miss,128,true,StaticBirth,a,1,3,33797,16769,131,132
known-miss,128,true,MatchDependencies,a,1,3,33797,16769,131,132
known-miss,128,true,CurrentContext,b,1,3,33797,16769,131,132
known-miss,128,true,StaticBirth,b,1,3,33797,16769,131,132
known-miss,128,true,MatchDependencies,b,1,3,33797,16769,131,132
delayed-hit,128,true,CurrentContext,a,1,131,1287,513,259,389
delayed-hit,128,true,StaticBirth,a,1,131,1287,513,259,389
delayed-hit,128,true,MatchDependencies,a,1,131,1287,513,259,389
delayed-hit,128,true,CurrentContext,b,1,131,1287,513,259,389
delayed-hit,128,true,StaticBirth,b,1,131,1287,513,259,389
delayed-hit,128,true,MatchDependencies,b,1,131,1287,513,259,389
delayed-miss,128,true,CurrentContext,a,1,3,33545,16769,131,132
delayed-miss,128,true,StaticBirth,a,1,3,33545,16769,131,132
delayed-miss,128,true,MatchDependencies,a,1,3,33545,16769,131,132
delayed-miss,128,true,CurrentContext,b,1,3,33545,16769,131,132
delayed-miss,128,true,StaticBirth,b,1,3,33545,16769,131,132
delayed-miss,128,true,MatchDependencies,b,1,3,33545,16769,131,132
